meeboID	RATIO_MjDC_V1.7	CY3.ng._MjDC_V1.7	CY5.ng._MjDC_V1.7	SeqID	Probe_Name	Type	Name
MJ-6000-170	NA	NA	NA	mSQ036909	MJ-6000-170_5331	MJ	MJ-6000-170
MJ-6000-171	NA	NA	NA	mSQ037491	MJ-6000-171_5912	MJ	MJ-6000-171
MJ-6000-172	NA	NA	NA	mSQ037091	MJ-6000-172_3824	MJ	MJ-6000-172
MJ-6000-173	NA	NA	NA	mSQ036879	MJ-6000-173_4937	MJ	MJ-6000-173
MJ-7000-174	NA	NA	NA	mSQ037313	MJ-7000-174_2157	MJ	MJ-7000-174
MJ-7000-175	NA	NA	NA	mSQ037108	MJ-7000-175_5569	MJ	MJ-7000-175
MJ-7000-176	NA	NA	NA	mSQ037027	MJ-7000-176_2342	MJ	MJ-7000-176
MJ-7000-177	NA	NA	NA	mSQ036899	MJ-7000-177_6925	MJ	MJ-7000-177
MJ-7000-178	NA	NA	NA	mSQ037522	MJ-7000-178_6885	MJ	MJ-7000-178
MJ-7000-179	NA	NA	NA	mSQ037259	MJ-7000-179_4136	MJ	MJ-7000-179
MJ-7000-180	NA	NA	NA	mSQ037009	MJ-7000-180_6718	MJ	MJ-7000-180
MJ-7000-181	NA	NA	NA	mSQ037511	MJ-7000-181_6670	MJ	MJ-7000-181
MJ-7000-182	NA	NA	NA	mSQ036982	MJ-7000-182_643	MJ	MJ-7000-182
MJ-7000-183	NA	NA	NA	mSQ036876	MJ-7000-183_4085	MJ	MJ-7000-183
MJ-8000-184	NA	NA	NA	mSQ036980	MJ-8000-184_7839	MJ	MJ-8000-184
MJ-8000-185	NA	NA	NA	mSQ037064	MJ-8000-185_7452	MJ	MJ-8000-185
MJ-8000-186	NA	NA	NA	mSQ037031	MJ-8000-186_6152	MJ	MJ-8000-186
MJ-8000-187	NA	NA	NA	mSQ037265	MJ-8000-187_7756	MJ	MJ-8000-187
MJ-8000-188	NA	NA	NA	mSQ037013	MJ-8000-188_5541	MJ	MJ-8000-188
MJ-8000-189	NA	NA	NA	mSQ037365	MJ-8000-189_7473	MJ	MJ-8000-189
MJ-8000-190	NA	NA	NA	mSQ037197	MJ-8000-190_4699	MJ	MJ-8000-190
MJ-8000-191	NA	NA	NA	mSQ037480	MJ-8000-191_7593	MJ	MJ-8000-191
MJ-8000-192	NA	NA	NA	mSQ037060	MJ-8000-192_7673	MJ	MJ-8000-192
